0,sphere: books: michael crichton,"{'novel': 3, 'misssion': 3, 'mile': 3, 'spacecraft': 3, 'holes': 3, 'things_lawes': 3, 'analysis': 3}"
1,"healing from the heart: a leading surgeon combines eastern and western traditions to create the medicine of the future: books: mehmet oz m.d.,mehmet oz,dean ornish","{'transplantation': 4, 'epilogue': 4, 'medicine_techniques': 3, 'way': 3, 'interest': 4, 'disappointment': 2, 'medicine': 3, 'want': 3}"
2,mythology: dc comics art of alex ross 2007 calendar: books: alex ross,"{'books': 4, 'artwork': 3}"
3,pegasus descending: a dave robicheaux novel (dave robicheaux mysteries): books: james lee burke,"{'mayhem': 2, 'shortcomings': 3}"
4,"guns, germs, and steel: the fates of human societies: books: jared diamond","{'review': 4, 'others': 2, 'value': 3, 'thought': 3, 'fiction': 4, 'age': 3, 'drama': 4, 'biologist_anthropologist': 3, 'story_civilization': 3, 'work': 3, 'credit': 3, 'history': 3, 'factors_environment': 3, 'reading': 4, 'knowledge_areas': 3, 'stance': 3, 'annoying': 2, 'picture': 3, 'book_illuminates': 3, 'diamonds': 3, 'anthropology_sociology': 3, 'piece_truth': 3}"
5,world's fairs and the end of progress: an insider's view: books: alfred heller,"{'worlds': 4, 'read': 4, 'book_author': 3, 'errors_book': 3, 'states': 3, 'tower': 4, 'structure': 3, 'squat': 3, 'blocksaccording': 3, 'book': 4, 'walls': 3, 'aluminum_panels': 3, 'designs': 4, 'light': 4, 'photos': 3, 'pavilion': 3, 'expo': 3, 'time': 3, 'all': 4}"
6,teach yourself photography: books: lee frost,"{'arrangement_chapters': 3, 'way': 4, 'lenses': 3, 'tips': 3, 'book': 3, 'chapters': 3, 'photos_illustrations': 3, 'money': 4, 'size': 3, 'edition': 3}"
7,longitudes and attitudes: the world in the age of terrorism: books: thomas l. friedman,"{'writer': 3, 'perspective_world': 3, 'pick': 4}"
8,novelty: four stories: books: john crowley,"{'stylists': 3, 'language': 3, 'rashomonesque_time': 3, 'cecil': 3, 'centuries': 3, 'night': 3, 'twist': 3, 'novelty': 3, 'prose': 3, 'crowley': 4, 'surprise': 5, 'readers': 3}"
9,susannah's garden (mira single title hardbacks): books: debbie macomber,"{'outset': 3, 'scenes': 3, 'detail': 3, 'vivian': 3, 'blend': 3, 'story': 4, 'books': 3, 'characters': 4, 'books_series': 3}"
